Year[I],Winner(s),Work,Nominees,Ref.
1959,"Modugno, DomenicoDomenico Modugno","Volare !""Nel Blu Dipinto Di Blu (Volare)"" *","""Catch a Falling Star"" by Perry Como ""The Chipmunk Song (Christmas Don't Be Late)"" by David Seville ""Fever"" by Peggy Lee ""Witchcraft"" by Frank Sinatra",[8]
1960,"Darin, BobbyBobby Darin","Mack the Knife !""Mack the Knife""","""A Fool Such as I"" by Elvis Presley ""High Hopes"" by Frank Sinatra ""Like Young"" by André Previn ""The Three Bells"" by The Browns",[9]
1961,"Faith, PercyPercy Faith","Theme from A Summer Place !""Theme from A Summer Place""","""Are You Lonesome Tonight?"" by Elvis Presley ""Georgia On My Mind"" by Ray Charles ""Mack the Knife"" by Ella Fitzgerald ""Nice 'n' Easy"" by Frank Sinatra",[10]
1962,"Mancini, HenryHenry Mancini","Moon River !""Moon River"" *","""Big Bad John"" by Jimmy Dean ""The Second Time Around"" by Frank Sinatra ""Take Five"" by The Dave Brubeck Quartet ""(Up a) Lazy River"" by Si Zentner",
1963,"Bennett, TonyTony Bennett","I Left My Heart in San Francisco !""I Left My Heart in San Francisco""","""Desafinado"" by Stan Getz & Charlie Byrd ""Fly Me to the Moon Bossa Nova"" by Joe Harnell and His Orchestra ""I Can't Stop Loving You"" by Ray Charles ""What Kind of Fool Am I?"" by Sammy Davis, Jr.",[11]
1964,"Mancini, HenryHenry Mancini","Days of Wine and Roses !""Days of Wine and Roses"" *","""Dominique"" by The Singing Nun ""Happy Days Are Here Again"" by Barbra Streisand ""I Wanna Be Around"" by Tony Bennett ""Wives and Lovers"" by Jack Jones",[12]
1965,"Gilberto, AstrudAstrud Gilberto and Stan Getz","Girl from Ipanema, The !""The Girl from Ipanema""","""Downtown"" by Petula Clark ""Hello, Dolly!"" by Louis Armstrong ""I Want to Hold Your Hand"" by The Beatles ""People"" by Barbra Streisand",[13]
1966,"Alpert, HerbHerb Alpert and the Tijuana Brass   · produced by Herb Alpert & Jerry Moss","A Taste of Honey !""A Taste of Honey""","""Yesterday"" by The Beatles ""The 'In' Crowd"" by The Ramsey Lewis Trio ""King of the Road"" by Roger Miller ""The Shadow of Your Smile"" by Tony Bennett",
1967,"Sinatra, FrankFrank Sinatra   · produced by Jimmy Bowen","Strangers in the Night !""Strangers in the Night""","""Almost Persuaded"" by David Houston ""Monday, Monday"" by The Mamas & the Papas ""What Now My Love"" by Herb Alpert and the Tijuana Brass ""Winchester Cathedral"" by The New Vaudeville Band",
1968,"Fifth Dimension, The !The 5th Dimension   · produced by Johnny Rivers & Marc Gordon","Up, Up and Away !""Up, Up and Away"" *","""By the Time I Get to Phoenix"" by Glen Campbell ""My Cup Runneth Over"" by Ed Ames ""Ode to Billie Joe"" by Bobbie Gentry ""Somethin' Stupid"" by Nancy Sinatra & Frank Sinatra",[14]
1969,"Simon & Garfunkel   · produced by Art Garfunkel, Paul Simon & Roy Halee","Mrs. Robinson !""Mrs. Robinson""","""Harper Valley PTA"" by Jeannie C. Riley ""Hey Jude"" by The Beatles ""Honey"" by Bobby Goldsboro ""Wichita Lineman"" by Glen Campbell",
1970,"Fifth Dimension, The !The 5th Dimension   · produced by Bones Howe","Aquarius !""Aquarius/Let the Sunshine In""","""A Boy Named Sue"" by Johnny Cash ""Is That All There Is?"" by Peggy Lee ""A Time For Us"" by Henry Mancini ""Spinning Wheel"" by Blood, Sweat & Tears",[15]
1971,"Simon & Garfunkel   · produced by Art Garfunkel, Paul Simon & Roy Halee","Bridge over Troubled Water !""Bridge over Troubled Water"" *","""(They Long to Be) Close to You"" by Carpenters ""Everything Is Beautiful"" by Ray Stevens ""Fire and Rain"" by James Taylor ""Let it Be"" by The Beatles",[16]
1972,"King, CaroleCarole King   · produced by Lou Adler","It's Too Late !""It's Too Late""","""Joy to the World"" by Three Dog Night ""My Sweet Lord"" by George Harrison ""Theme from Shaft"" by Isaac Hayes ""You've Got a Friend"" by James Taylor",[17]
1973,"Flack, RobertaRoberta Flack   · produced by Joel Dorn","The First Time Ever I Saw Your Face !""The First Time Ever I Saw Your Face"" *","""Alone Again (Naturally)"" by Gilbert O'Sullivan ""American Pie"" by Don McLean ""Song Sung Blue"" by Neil Diamond ""Without You"" by Nilsson",[18]
1974,"Flack, RobertaRoberta Flack   · produced by Joel Dorn","Killing Me Softly with His Song !""Killing Me Softly with His Song"" *","""Bad, Bad Leroy Brown"" by Jim Croce ""Behind Closed Doors"" by Charlie Rich ""You Are the Sunshine of My Life"" by Stevie Wonder ""You're So Vain"" by Carly Simon",[19]
1975,"Newton-John, OliviaOlivia Newton-John   · produced by John Farrar","I Honestly Love You !""I Honestly Love You""","""Don't Let the Sun Go Down on Me"" by Elton John ""Feel Like Makin' Love"" by Roberta Flack ""Help Me"" by Joni Mitchell ""Midnight at the Oasis"" by Maria Muldaur",
1976,Captain & Tennille   · produced by Daryl Dragon,"Love Will Keep Us Together !""Love Will Keep Us Together""","""At Seventeen"" by Janis Ian ""Lyin' Eyes"" by Eagles ""Mandy"" by Barry Manilow ""Rhinestone Cowboy"" by Glen Campbell",[20]
1977,"Benson, GeorgeGeorge Benson   · produced by Tommy LiPuma","This Masquerade !""This Masquerade""","""Afternoon Delight"" by Starland Vocal Band ""50 Ways to Leave Your Lover"" by Paul Simon ""I Write the Songs"" by Barry Manilow ""If You Leave Me Now"" by Chicago",[21]
1978,Eagles !Eagles   · produced by Bill Szymczyk,"Hotel California !""Hotel California""","""Blue Bayou"" by Linda Ronstadt ""Don't It Make My Brown Eyes Blue"" by Crystal Gayle ""Evergreen (Love Theme from A Star Is Born)"" by Barbra Streisand ""You Light Up My Life"" by Debby Boone",[22]
1979,"Joel, BillyBilly Joel   · produced by Phil Ramone","Just the Way You Are !""Just the Way You Are"" *","""Baker Street"" by Gerry Rafferty ""Feels So Good"" by Chuck Mangione ""Stayin' Alive"" by Bee Gees ""You Needed Me"" by Anne Murray",
1980,"Doobie Brothers, The !The Doobie Brothers   · produced by Ted Templeman","What a Fool Believes !""What a Fool Believes"" *","""After the Love Has Gone"" by Earth, Wind & Fire ""I Will Survive"" by Gloria Gaynor ""The Gambler"" by Kenny Rogers ""You Don't Bring Me Flowers"" by Barbra Streisand & Neil Diamond",[23]
1981,"Cross, ChristopherChristopher Cross   · produced by Michael Omartian","Sailing !""Sailing"" *","""The Rose"" by Bette Midler ""Lady"" by Kenny Rogers ""Theme from New York, New York"" by Frank Sinatra ""Woman in Love"" by Barbra Streisand",[23]
1982,"Carnes, KimKim Carnes   · produced by Val Garay","Bette Davis Eyes !""Bette Davis Eyes"" *","""Arthur's Theme (Best That You Can Do)"" by Christopher Cross ""(Just Like) Starting Over"" by John Lennon ""Endless Love"" by Diana Ross and Lionel Richie ""Just the Two of Us"" by Grover Washington, Jr. with Bill Withers",[23]
1983,Toto   · produced by Toto,"Rosanna !""Rosanna""","""Steppin' Out"" by Joe Jackson ""Ebony and Ivory"" by Paul McCartney and Stevie Wonder ""Always on My Mind"" by Willie Nelson ""Chariots of Fire"" by Vangelis",[23]
1984,"Jackson, MichaelMichael Jackson   · produced by Michael Jackson & Quincy Jones","Beat It !""Beat It""","""Flashdance... What a Feeling"" by Irene Cara ""Every Breath You Take"" by The Police ""All Night Long (All Night)"" by Lionel Richie ""Maniac"" by Michael Sembello",[23]
1985,"Turner, TinaTina Turner   · produced by Terry Britten","What's Love Got to Do with It !""What's Love Got to Do with It"" *","""Hard Habit to Break"" by Chicago ""Girls Just Want to Have Fun"" by Cyndi Lauper ""The Heart of Rock & Roll"" by Huey Lewis and the News ""Dancing in the Dark"" by Bruce Springsteen",[23]
1986,USA for Africa   · produced by Quincy Jones,"We Are the World !""We Are the World"" *","""Money for Nothing"" by Dire Straits ""The Boys of Summer"" by Don Henley ""The Power of Love"" by Huey Lewis and the News ""Born in the U.S.A."" by Bruce Springsteen",[23]
1987,"Winwood, SteveSteve Winwood   · produced by Russ Titelman & Steve Winwood","Higher Love !""Higher Love""","""Sledgehammer"" by Peter Gabriel ""Greatest Love of All"" by Whitney Houston ""Addicted to Love"" by Robert Palmer ""That's What Friends Are For"" by Dionne Warwick & Friends",[23]
1988,"Simon, PaulPaul Simon   · produced by Paul Simon","Graceland !""Graceland""","""La Bamba"" by Los Lobos ""I Still Haven't Found What I'm Looking For"" by U2 ""Luka"" by Suzanne Vega ""Back in the High Life Again"" by Steve Winwood",[23]
1989,"McFerrin, BobbyBobby McFerrin   · produced by Linda Goldstein","Don't Worry, Be Happy !""Don't Worry, Be Happy"" *","""Giving You the Best That I Got"" by Anita Baker ""Fast Car"" by Tracy Chapman ""Man in the Mirror"" by Michael Jackson ""Roll With It"" by Steve Winwood",[23]
1990,"Midler, BetteBette Midler   · produced by Arif Mardin","Wind Beneath My Wings !""Wind Beneath My Wings"" *","""The End of the Innocence"" by Don Henley ""She Drives Me Crazy"" by Fine Young Cannibals ""We Didn't Start the Fire"" by Billy Joel ""The Living Years"" by Mike + The Mechanics",[23]
1991,"Collins, PhilPhil Collins   · produced by Hugh Padgham & Phil Collins","Another Day in Paradise !""Another Day in Paradise""","""Vision of Love"" by Mariah Carey ""U Can't Touch This"" by MC Hammer ""From a Distance"" by Bette Midler ""Nothing Compares 2 U"" by Sinéad O'Connor",[23]
1992,"Cole, NatalieNatalie Cole with Nat King Cole   · produced by David Foster","Unforgettable !""Unforgettable"" *","""(Everything I Do) I Do It for You"" by Bryan Adams ""Baby Baby"" by Amy Grant ""Something to Talk About"" by Bonnie Raitt ""Losing My Religion"" by R.E.M.",[23]
1993,"Clapton, EricEric Clapton   · produced by Russ Titelman","Tears in Heaven !""Tears in Heaven"" *","""Achy Breaky Heart"" by Billy Ray Cyrus ""Beauty and the Beast"" by Celine Dion & Peabo Bryson ""Constant Craving"" by k.d. lang ""Save the Best for Last"" by Vanessa Williams",[23]
1994,"Houston, WhitneyWhitney Houston   · produced by David Foster","I Will Always Love You !""I Will Always Love You""","""A Whole New World"" by Peabo Bryson & Regina Belle ""The River of Dreams"" by Billy Joel ""If I Ever Lose My Faith in You"" by Sting ""Harvest Moon"" by Neil Young",[23]
1995,"Crow, SherylSheryl Crow   · produced by Bill Bottrell","All I Wanna Do !""All I Wanna Do""","""I'll Make Love to You"" by Boyz II Men ""He Thinks He'll Keep Her"" by Mary Chapin Carpenter ""Love Sneakin' Up On You"" by Bonnie Raitt ""Streets of Philadelphia"" by Bruce Springsteen",[24]
1996,Seal   · produced by Trevor Horn,"Kiss from a Rose !""Kiss from a Rose"" *","""One Sweet Day"" by Mariah Carey & Boyz II Men ""Gangsta's Paradise"" by Coolio ""One of Us"" by Joan Osborne ""Waterfalls"" by TLC",[25]
1997,"Clapton, EricEric Clapton   · produced by Babyface","Change the World !""Change the World"" *","""Give Me One Reason"" by Tracy Chapman ""Because You Loved Me"" by Celine Dion ""Ironic"" by Alanis Morissette ""1979"" by The Smashing Pumpkins",[26]
1998,"Colvin, ShawnShawn Colvin   · produced by John Leventhal","Sunny Came Home !""Sunny Came Home"" *","""Where Have All the Cowboys Gone?"" by Paula Cole ""Everyday Is a Winding Road"" by Sheryl Crow ""MMMBop"" by Hanson ""I Believe I Can Fly"" by R. Kelly",[27]
1999,"Dion, CelineCeline Dion   · engineered/mixed by David Gleeson, Humberto Gatica & Simon Franglen;   · produced by James Horner, Simon Franglen & Walter Afanasieff","My Heart Will Go On !""My Heart Will Go On"" *","""The Boy Is Mine"" by Brandy"" & Monica ""Iris"" by Goo Goo Dolls ""Ray of Light"" by Madonna ""You're Still the One"" by Shania Twain",[28]
2000,"Santana featuring Rob Thomas   · engineered/mixed by David Thoener,   · produced by Matt Serletic","Smooth !""Smooth"" *","""I Want It That Way"" by Backstreet Boys ""Believe"" by Cher ""Livin' la Vida Loca"" by Ricky Martin ""No Scrubs"" by TLC",[29]
2001,U2   · engineered/mixed by Richard Rainey & Steve Lillywhite;   · produced by Brian Eno & Daniel Lanois,"Beautiful Day !""Beautiful Day"" *","""Say My Name"" by Destiny's Child ""I Try"" by Macy Gray ""Music"" by Madonna ""Bye Bye Bye"" by *NSYNC",[30]
2002,U2   · engineered/mixed by Richard Rainey & Steve Lillywhite;   · produced by Brian Eno & Daniel Lanois,"Walk On !""Walk On""","""Video"" by India.Arie ""Fallin'"" by Alicia Keys ""Ms. Jackson"" by OutKast ""Drops of Jupiter (Tell Me)"" by Train",[31]
2003,"Jones, NorahNorah Jones   · engineered/mixed by Jay Newland;   · produced by Arif Mardin, Jay Newland & Norah Jones","Don't Know Why !""Don't Know Why"" *","""A Thousand Miles"" by Vanessa Carlton ""Without Me"" by Eminem ""Dilemma"" by Nelly & Kelly Rowland ""How You Remind Me"" by Nickelback",[32]
2004,"Coldplay   · engineered/mixed by Coldplay, Ken Nelson & Mark Phythian;   · produced by Coldplay & Ken Nelson","Clocks !""Clocks""","""Crazy in Love"" by Beyoncé & Jay-Z ""Where Is the Love?"" by The Black Eyed Peas & Justin Timberlake ""Lose Yourself"" by Eminem ""Hey Ya!"" by OutKast",[33]
2005,"Charles, RayRay Charles featuring Norah Jones   · engineered/mixed by Al Schmitt, Mark Fleming, & Terry Howard;   · produced by John R. Burk","""Here We Go Again""","""Let's Get It Started"" by The Black Eyed Peas ""American Idiot"" by Green Day ""Heaven"" by Los Lonely Boys ""Yeah"" by Usher featuring Lil Jon & Ludacris",[34]
2006,"Green Day   · engineered/mixed by Chris Lord-Alge & Doug McKean,   · produced by Green Day & Rob Cavallo","Boulevard of Broken Dreams !""Boulevard of Broken Dreams""","""We Belong Together"" by Mariah Carey ""Feel Good Inc."" by Gorillaz ""Hollaback Girl"" by Gwen Stefani ""Gold Digger"" by Kanye West",[35]
2007,"Dixie Chicks   · engineered/mixed by Chris Testa, Jim Scott & Richard Dodd;   · produced by Rick Rubin","Not Ready to Make Nice !""Not Ready to Make Nice"" *","""Be Without You"" by Mary J. Blige ""You're Beautiful"" by James Blunt ""Crazy"" by Gnarls Barkley ""Put Your Records On"" by Corinne Bailey Rae",[36]
2008,"Winehouse, AmyAmy Winehouse   · engineered/mixed by Tom Elmhirst, Vaughan Merrick, Dom Morley, Mark Ronson & Gabriel Roth;   · produced by Mark Ronson","Rehab !""Rehab"" *","""Irreplaceable"" by Beyoncé ""The Pretender"" by the Foo Fighters ""Umbrella"" by Rihanna featuring Jay-Z ""What Goes Around.../...Comes Around"" by Justin Timberlake",[37]
2009,"Krauss, AlisonAlison Krauss and Robert Plant   · engineered/mixed by Mike Piersante;   · produced by T-Bone Burnett","Please Read the Letter !""Please Read the Letter""","""Chasing Pavements"" by Adele ""Viva la Vida"" by Coldplay ""Bleeding Love"" by Leona Lewis ""Paper Planes"" by M.I.A.",[38]
2010,Kings of Leon   · engineered/mixed by Jacquire King;   · produced by Jacquire King & Angelo Petraglia,"Use Somebody !""Use Somebody""","""Halo"" by Beyoncé ""I Gotta Feeling"" by The Black Eyed Peas ""Poker Face"" by Lady Gaga ""You Belong with Me"" by Taylor Swift",[39]
2011,Lady Antebellum   · engineered/mixed by Clarke Schleicher;   · produced by Lady Antebellum & Paul Worley,"Need You Now !""Need You Now"" *","""Nothin' on You"" by B.o.B featuring Bruno Mars ""Love The Way You Lie"" by Eminem featuring Rihanna ""Fuck You"" by Cee Lo Green ""Empire State of Mind"" by Jay-Z featuring Alicia Keys",[40]
2012,Adele   · engineered/mixed by Tom Elmhirst & Mark Rankin   · produced by Paul Epworth,"Rolling in the Deep !""Rolling in the Deep"" *","""Holocene"" by Bon Iver ""Grenade"" by Bruno Mars ""The Cave"" by Mumford & Sons ""Firework"" by Katy Perry",[41]
2013,"Gotye featuring Kimbra   · engineered/mixed by Wally De Backer, François Tétaz & William Bowden   · master engineered by William Bowden   · produced by Wally De Backer","Somebody That I Used to Know !""Somebody That I Used to Know""","""Lonely Boy"" by The Black Keys ""Stronger (What Doesn't Kill You)"" by Kelly Clarkson ""We Are Young"" by fun. featuring Janelle Monáe ""Thinkin Bout You"" by Frank Ocean ""We Are Never Ever Getting Back Together"" by Taylor Swift",[42]
2014,"Daft Punk featuring Pharrell Williams & Nile Rodgers   · engineered/mixed by Peter Franco, Mick Guzauski, Florian Lagatta & Daniel Lerner   · master engineered by Antoine ""Chab"" Chabert & Bob Ludwig   · produced by Thomas Bangalter & Guy-Manuel de Homem-Christo","""Get Lucky""","""Radioactive"" by Imagine Dragons ""Royals"" by Lorde ""Locked Out of Heaven"" by Bruno Mars ""Blurred Lines"" by Robin Thicke featuring T.I. & Pharrell Williams",[43]
2015,"Sam Smith   · engineered/mixed by Steve Fitzmaurice, Jimmy Napes & Steve Price   · master engineered by Tom Coyne   · produced by Steve Fitzmaurice, Rodney Jerkins & Jimmy Napes","""Stay with Me"" (Darkchild version) *","""Fancy"" by Iggy Azalea featuring Charli XCX ""Chandelier"" by Sia ""Shake It Off"" by Taylor Swift ""All About That Bass"" by Meghan Trainor",
2016,"Mark Ronson featuring Bruno Mars   · engineered/mixed by Josh Blair, Riccardo Damian, Serban Ghenea, Wayne Gordon, John Hanes, Inaam Haq, Boo Mitchell, Charles Moniz & Mark Ronson   · mastering engineered by Tom Coyne   · produced by Jeff Bhasker, Bruno Mars & Mark Ronson","""Uptown Funk""","""Really Love"" by D'Angelo & The Vanguard ""Thinking Out Loud"" by Ed Sheeran ""Blank Space"" by Taylor Swift ""Can't Feel My Face"" by The Weeknd",[44]
