Hit The Quan,iLoveMemphis,45415
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,733773
Never Forget You,Zara Larsson & MNEK,353776
I Got The Boy,Jana Kramer,91424
Love Myself,Hailee Steinfeld,183783
Me, Myself & I,G-Eazy x Bebe Rexha,?
Noise,Kenny Chesney,547062
Don't Let Me Down,The Chainsmokers Featuring Daya,569979
No Sense,Justin Bieber Featuring Travi$ Scott,5696905
Down In The DM,Yo Gotti Featuring Nicki Minaj,247950
I'll Show You,Justin Bieber,5696905
Jugg,Fetty Wap Featuring Monty,1379635
Every Breath You Take,Hannah Huston,599
T-Shirt,Thomas Rhett,174846
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,1356737
Back To Sleep,Chris Brown,3212604
Little More (Royalty),Chris Brown,3212605
7 Years,Lukas Graham,537896
Trap Queen,Fetty Wap,1379635
We Are,Justin Bieber Featuring Nas,5696908
Exchange,Bryson Tiller,583992
White Iverson,Post Malone,194067
Zero,Chris Brown,3212605
Best Friend,Young Thug,443119
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,476652
Trust,Justin Bieber,5696908
Make Me Like You,Gwen Stefani,413652
Hold Up,Beyonce,4506739
Pop Style,Drake Featuring The Throne,5801307
Levels,Nick Jonas,569030
Hit The Quan,iHeartMemphis,45416
Faithful,Drake Featuring Pimp C & dvsn,5801307
About You,Trey Songz,1218600
Try Everything,Shakira,2132754
Bet You Can't Do It Like Me,DLOW,11565
Saved,Ty Dolla $ign Featuring E-40,315551
John Cougar, John Deere, John 3:16,Keith Urban,452710
Mr. Misunderstood,Eric Church,547521
Might Be,Luke Nasty,3708
Love Yourself,Justin Bieber,5696908
No Pressure,Justin Bieber Featuring Big Sean,5696908
Rockin' Around The Christmas Tree,Brenda Lee,27192
Love Drought,Beyonce,4506739
Daddy,PSY Featuring CL,747099
Too Good,Drake Featuring Rihanna,5801308
Fast Car,Jonas Blue Featuring Dakota,20209
Snapback,Old Dominion,37864
I'm Sorry,Adam Wakefield,292
Strip It Down,Luke Bryan,1147103
New Romantics,Taylor Swift,4381339
Emperor's New Clothes,Panic! At The Disco,1491693
Jam,Kevin Gates Featuring Trey Songz, Ty Dolla $ign &  Jamie Foxx,532802
The Sound Of Silence,Disturbed,777308
Somewhere On A Beach,Dierks Bentley,298832
30 For 30 Freestyle,Drake,5801308
I Hate U I Love U,gnash Featuring Olivia O'Brien,97847
Youth,Troye Sivan,1021219
Hotline Bling,Drake,5801308
Ride,twenty one pilots,1744454
Lean & Dabb,iLoveMemphis,45416
Middle,DJ Snake Featuring Bipolar Sunshine,499521
Pray You Catch Me,Beyonce,4506739
Locked Away,R. City Featuring Adam Levine,56418
A.M.,One Direction,5145099
Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,1125670
Pillowtalk,Zayn,850911
History,One Direction,5145099
Again,Fetty Wap,1379635
Used To Love You,Gwen Stefani,413652
All I Ask,Adele,4714806
Rich $ex,Future,1158228
Head Over Boots,Jon Pardi,30581
Little Red Corvette,Prince,758817
Down In The DM,Yo Gotti,247948
You Should Be Here,Cole Swindell,77343
Great Is Thy Faithfulness,Jordan Smith,18566
FML,Kanye West,3387213
Break On Me.,Keith Urban,452710
THat Part,ScHoolboy Q Featuring Kanye West,650751
Girls Just Want To Have Fun,Madi Davis,2204
Ophelia,The Lumineers,1038886
Gonna Know We Were Here,Jason Aldean,896948
Space Oddity,David Bowie,1340564
Cut It,O.T. Genasis Featuring Young Dolph,73647
Fire & Desire,Drake,5801312
Into You,Ariana Grande,3836836
Water Under The Bridge,Adele,4714806
Climb Every Mountain,Jordan Smith,18566
Walking On A Dream,Empire Of The Sun,449762
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,1125680
Sugar,Maroon 5,6755221
With You,Drake Featuring PARTYNEXTDOOR,5801312
Grammys,Drake Featuring Future,5801312
Good To Be Alive (Hallelujah),Andy Grammer,196409
Humble And Kind,Tim McGraw,473483
The Fix,Nelly Featuring Jeremih,437029
Where Are U Now,Skrillex & Diplo With Justin Bieber,4235720
Confession,Florida Georgia Line,522668
R.I.C.O.,Meek Mill Featuring Drake,587764
Runnin' (Lose It All),Naughty Boy Featuring Beyonce & Arrow Benjamin,127841
When We Were Young,Adele,4714806
Say It,Tory Lanez,170707
Sandcastles,Beyonce,4506740
Hands To Myself,Selena Gomez,2212522
Moolah,Young Greatness,7931
Hello Friday,Flo Rida Featuring Jason Derulo,3834348
Cheap Thrills,Sia Featuring Sean Paul,2023543
I'd Just Love To Lay You Down,Barrett Baber,1905
I Would Die 4 U,Prince And The Revolution,?
Used To Love You Sober,Kane Brown,51607
Gold,Kiiara,74906
I Love This Life,LoCash,9869
Promise,Kid Ink Featuring Fetty Wap,763883
All Night,Beyonce,4506740
Infinity,One Direction,5145099
Ain't Your Mama,Jennifer Lopez,1161595
Came Here To Forget,Blake Shelton,1041686
Let's Go Crazy,Prince And The Revolution,?
Untitled 07 l 2014 - 2016,Kendrick Lamar,2460994
30 for 30 Freestyle,Drake,5801313
Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,1074080
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,559310
Kiss It Better,Rihanna,6877026
No,Meghan Trainor,1374639
Stressed Out,twenty one pilots,1744457
Purpose,Justin Bieber,5696912
Lose My Mind,Brett Eldredge,84206
Worth It,Fifth Harmony Featuring Kid Ink,1230354
Tennessee Whiskey,Chris Stapleton,205125
Something In The Way You Move,Ellie Goulding,2728534
Wherever I Go,OneRepublic,1883752
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,1041686
God Only Knows,Jordan Smith & Adam Levine,18566
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,192098
Redemption,Drake,5801313
Hasta El Amanecer,Nicky Jam,733777
I'm Comin' Over,Chris Young,272956
Firestone,Kygo Featuring Conrad,960995
Children,Justin Bieber,5696912
Feel No Ways,Drake,5801313
Honey, I'm Good.,Andy Grammer,196409
Stay A Little Longer,Brothers Osborne,22262
Classic Man,Jidenna Featuring Roman GianArthur,56795
Formation,Beyonce,4506740
Get Ugly,Jason Derulo,1914239
Keep The Family Close,Drake,5801313
Death Of A Bachelor,Panic! At The Disco,1491695
Huntin', Fishin' & Lovin' Every Day,Luke Bryan,1147103
Close,Nick Jonas Featuring Tove Lo,569030
Law,Yo Gotti Featuring E-40,247948
If I Could Fly,One Direction,5145103
Roses,The Chainsmokers Featuring ROZES,569981
Drag Me Down,One Direction,5145103
Buy Me A Boat,Chris Janson,18682
Something New,Zendaya Featuring Chris Brown,342849
Jimmy Choo,Fetty Wap,1379635
Don't Mind,Kent Jones,21298
Break Up With Him,Old Dominion,37864
Fly S**t Only,Future,1158229
Waves,Kanye West,3387214
Sorry,Justin Bieber,5696913
How Deep Is Your Love,Calvin Harris & Disciples,4553827
Love On The Brain,Rihanna,6877029
Writing's On The Wall,Sam Smith,2551786
Untitled 02 l 06.23.2014.,Kendrick Lamar,2460994
RGF Island,Fetty Wap,1379635
Hide Away,Daya,110479
One Call Away,Charlie Puth,559310
Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,2620094
Home,One Direction,5145103
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,299242
Stand By You,Rachel Platten,148348
Live From The Gutter,Drake & Future,5801315
Famous,Kanye West,3387214
No Role Modelz,J. Cole,1580581
Burning House,Cam,36621
Lights Come On,Jason Aldean,896948
1999,Prince,758817
Out Of The Woods,Taylor Swift,4381340
Sorry,Beyonce,4506740
On My Mind,Ellie Goulding,2728534
Shut Up And Dance,WALK THE MOON,501925
Til It Happens To You,Lady Gaga,1796132
Cheerleader,OMI,272028
Never Enough,One Direction,5145103
Back To Back,Drake,5801315
Summer Sixteen,Drake,5801315
Purple Rain,Prince And The Revolution,?
Watch Out,2 Chainz,740598
2 Phones,Kevin Gates,532806
Little Bit Of You,Chase Bryant,8751
With Them,Young Thug,443123
Daddy Lessons,Beyonce,4506740
Love Me,The 1975,1166423
Liquor,Chris Brown,3212604
Thriller,Michael Jackson,2580170
Real Friends,Kanye West,3387214
All I Want For Christmas Is You,Mariah Carey,859319
Record Year,Eric Church,547521
Dessert,Dawin,59068
Break Up In A Small Town,Sam Hunt,411082
Down That Road,Alisan Porter,2452
Dangerous Woman,Ariana Grande,3836841
Ghost Town,Adam Lambert,318096
Gonna,Blake Shelton,1041686
Watch Me,Silento,149403
Been You,Justin Bieber,5696916
Wasted Time,Keith Urban,452710
Crash And Burn,Thomas Rhett,174847
Renegades,X Ambassadors,230799
Same Old Love,Selena Gomez,2212522
Look At My Dab,Migos,378655
In The Night,The Weeknd,3280452
Hype,Drake,5801316
Nobody To Blame,Chris Stapleton,205125
Wild Things,Alessia Cara,427038
Loving You Easy,Zac Brown Band,664985
Black Magic,Little Mix,1029248
That Don't Sound Like You,Lee Brice,226191
Irresistible,Fall Out Boy,2062663
Might Be,DJ Luke Nasty,3708
Sorry,Rick Ross Featuring Chris Brown,707449
Freedom,Beyonce Featuring Kendrick Lamar,4506740
Let It Go,James Bay,735658
What Do You Mean?,Justin Bieber,5696916
Really Really,Kevin Gates,532806
Digits,Young Thug,443123
When Doves Cry,Prince,758817
Plastic Bag,Drake & Future,5801317
We Went,Randy Houser,63043
Prisoner,The Weeknd Featuring Lana Del Rey,3280452
Like I Would,Zayn,850916
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,315551
Earned It (Fifty Shades Of Grey),The Weeknd,3280452
Light It Up,Major Lazer Featuring Nyla,1125680
Controlla,Drake,5801317
Go Flex,Post Malone,194069
Church Bells,Carrie Underwood,750999
Uber Everywhere,MadeinTYO,16663
Change Locations,Drake & Future,5801317
100,The Game Featuring Drake,592347
My Boo,Ghost Town DJ's,?
Jingle Bell Rock,Bobby Helms,5746
Body,Dreezy Featuring Jeremih,15765
Bang My Head,David Guetta Featuring Sia & Fetty Wap,7638378
Gotta Lotta,2 Chainz Featuring Lil Wayne,740598
Weston Road Flows,Drake,5801317
Ginza,J Balvin,636692
Childs Play,Drake,5801317
Don't,Bryson Tiller,583994
Blackstar,David Bowie,1340564
My Church,Maren Morris,19893
She's Kinda Hot,5 Seconds Of Summer,1874878
Be Alright,Ariana Grande,3836842
Still Here,Drake,5801317
From The Ground Up,Dan + Shay,72637
Backroad Song,Granger Smith,32377
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,587765
Pt. 2,Kanye West,3387214
Downtown,Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz,1642223
Lean On,Major Lazer & DJ Snake Featuring M0,1125680
Somebody To Love,Jordan Smith,18566
Right Hand,Drake,5801317
Hold Each Other,A Great Big World Featuring FUTURISTIC,182030
Whisper,Chase Rice,87826
Wicked,Future,1158229
Cool For The Summer,Demi Lovato,2217670
Blessings,Chance The Rapper,476656
The Feeling,Justin Bieber Featuring Halsey,5696922
Hallelujah,Jordan Smith,18566
I Took A Pill In Ibiza,Mike Posner,297624
Alive,Sia,2023544
Already Callin' You Mine,Parmalee,24641
Messin' Around,Pitbull Featuring Enrique Iglesias,2954664
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,129789
Random,G-Eazy,1074080
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,3103495
Temporary Fix,One Direction,5145103
Halo,Jordan Smith,18566
Let Me See Ya Girl,Cole Swindell,77343
Panda,Desiigner,77283
Uptown Funk!,Mark Ronson Featuring Bruno Mars,307521
Smoke Break,Carrie Underwood,750999
See You Again,Wiz Khalifa Featuring Charlie Puth,3103495
Come Get Her,Rae Sremmurd,613627
Save It For A Rainy Day,Kenny Chesney,547061
Beautiful Drug,Zac Brown Band,664985
Jersey,Future,1158229
Antidote,Travi$ Scott,321277
Remedy,Adele,4714810
Wake Up,Fetty Wap,1379635
Burning House,Emily Ann Roberts,1677
Jumpman,Drake & Future,5801317
American Country Love Song,Jake Owen,263125
Come And See Me,PARTYNEXTDOOR Featuring Drake,341697
Under Pressure,Queen & David Bowie,2423032
The Fighter,Keith Urban Featuring Carrie Underwood,452710
Hell Of A Night,Dustin Lynch,96794
Forward,Beyonce Featuring James Blake,4506745
House Party,Sam Hunt,411081
You Don't Own Me,Grace Featuring G-Eazy,822233
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,1374643
My Way,Fetty Wap Featuring Monty,1379637
U With Me?,Drake,5801317
Photograph,Ed Sheeran,5938364
Want To Want Me,Jason Derulo,1914239
I'm The Plug,Drake & Future,5801317
Hold My Hand,Jess Glynne,294618
Kick The Dust Up,Luke Bryan,1147103
Feedback,Kanye West,3387214
H.O.L.Y.,Florida Georgia Line,522671
The Hills,The Weeknd,3280457
Wildest Dreams,Taylor Swift,4381343
Good For You,Selena Gomez Featuring A$AP Rocky,2212527
Raspberry Beret,Prince And The Revolution,?
This Could Be Us,Rae Sremmurd,613627
Can't Feel My Face,The Weeknd,3280457
Ultralight Beam,Kanye West,3387214
Mary Did You Know,Jordan Smith,18566
Team,Iggy Azalea,1514206
Sorry Not Sorry,Bryson Tiller,583994
Kiss,Prince And The Revolution,?
It's You,Zayn,850917
True Colors,Zedd & Kesha,901548
Me Too,Meghan Trainor,1374643
Gonna Wanna Tonight,Chase Rice,87826
Scholarships,Drake & Future,5801317
Thinking Out Loud,Ed Sheeran,5938364
New Level,A$AP Ferg Featuring Future,287454
Digital Dash,Drake & Future,5801317
Comfortable,K Camp,214704
Lay It All On Me,Rudimental Featuring Ed Sheeran,527245
Faded,Alan Walker,200700
If It Ain't Love,Jason Derulo,1914240
All The Way Up,Fat Joe & Remy Ma Featuring French Montana & Infared,87815
Dark Times,The Weeknd Featuring Ed Sheeran,3280457
Top Of The World,Tim McGraw,473483
Piece By Piece,Kelly Clarkson,1160011
Real Life,Jake Owen,263125
Anything Goes,Florida Georgia Line,522672
Just Like Fire,P!nk,1682178
My House,Flo Rida,3834348
Send My Love (To Your New Lover),Adele,4714810
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,1430027
I Like The Sound Of That,Rascal Flatts,488336
I Don't Like It, I Love It,Flo Rida Featuring Robin Thicke & Verdine White,3834348
Cake By The Ocean,DNCE,210755
Get Used To Me,Justin Bieber,5696923
Might Not,Belly Featuring The Weeknd,10593
One Dance,Drake Featuring WizKid & Kyla,5801321
Diamonds Dancing,Drake & Future,5801321
Never Be Like You,Flume Featuring Kai,677506
Drunk On Your Love,Brett Eldredge,84206
9,Drake,5801321
Lazarus,David Bowie,1340568
Cecilia And The Satellite,Andrew McMahon In The Wilderness,47851
Sugar,Robin Schulz Featuring Francesco Yates,471638
Focus,Ariana Grande,3836848
Fly,Maddie & Tae,55353
Bad Blood,Taylor Swift Featuring Kendrick Lamar,4381343
Heartbeat,Carrie Underwood,751000
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,1147103
Alright,Kendrick Lamar,2460994
Can't Sleep Love,Pentatonix,1007795
6 Inch,Beyonce Featuring The Weeknd,4506746
Unsteady,X Ambassadors,230800
Adventure Of A Lifetime,Coldplay,5630503
Can't Stop The Feeling!,Justin Timberlake,2119432
Hello,Adele,4714810
Stitches,Shawn Mendes,1430027
Mind Reader,Dustin Lynch,96794
Fight Song,Rachel Platten,148348
Confident,Demi Lovato,2217671
Dibs,Kelsea Ballerini,47935
Roses,The Chainsmokers Featuring Rozes,569981
Olivia,One Direction,5145103
Country Nation,Brad Paisley,502671
Don't Hurt Yourself,Beyonce Featuring Jack White,4506746
Back Up,DeJ Loaf Featuring Big Sean,239772
Oui,Jeremih,515837
Should've Been Us,Tori Kelly,467289
Traveller,Chris Stapleton,205126
Views,Drake,5801324
Needed Me,Rihanna,6877032
Think Of You,Chris Young Duet With Cassadee Pope,?
Life Is Worth Living,Justin Bieber,5696923
oui,Jeremih,515837
Nothin' Like You,Dan + Shay,72637
Let Me Love You,Ariana Grande Featuring Lil Wayne,3836848
Low Life,Future Featuring The Weeknd,1158230
Here,Alessia Cara,427038
This Is What You Came For,Calvin Harris Featuring Rihanna,4553831
All The Way Up,Fat Joe & Remy Ma Featuring French Montana,87815
Where Ya At,Future Featuring Drake,1158230
Mark My Words,Justin Bieber,5696923
Die A Happy Man,Thomas Rhett,174848
Perfect,One Direction,5145103
Die A Happy Man,Nelly,437029
Victorious,Panic! At The Disco,1491698
Hollow,Tori Kelly,467289
Acquainted,The Weeknd,3280457
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,559310
Lonesome Broken And Blue,Adam Wakefield,292
The Christmas Song (Merry Christmas To You),Nat King Cole,228587
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,1230358
Lost Boy,Ruth B,99305
Hymn For The Weekend,Coldplay,5630505
Tell Your Friends,The Weeknd,3280457
Work,Rihanna Featuring Drake,6877032
Planes,Jeremih Featuring J. Cole,515839
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,223188
Uma Thurman,Fall Out Boy,2062663
Ex's & Oh's,Elle King,164646
New Americana,Halsey,909721
Flex (Ooh Ooh Ooh),Rich Homie Quan,398027
Big Rings,Drake & Future,5801325
Stick Talk,Future,1158230
679,Fetty Wap Featuring Remy Boyz,1379638
Company,Justin Bieber,5696927
Father Stretch My Hands Pt. 1,Kanye West,3387214
Hallelujah,Lindsey Stirling,634577
