song,artist,years
Hit The Quan,iLoveMemphis,2015
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,2015
Never Forget You,Zara Larsson & MNEK,2015
I Got The Boy,Jana Kramer,?
Love Myself,Hailee Steinfeld,2015
Me, Myself & I,G-Eazy x Bebe Rexha,?
Noise,Kenny Chesney,?
Don't Let Me Down,The Chainsmokers Featuring Daya,2016
No Sense,Justin Bieber Featuring Travi$ Scott,?
Down In The DM,Yo Gotti Featuring Nicki Minaj,2016
I'll Show You,Justin Bieber,?
Jugg,Fetty Wap Featuring Monty,?
Every Breath You Take,Hannah Huston,?
T-Shirt,Thomas Rhett,?
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,?
Back To Sleep,Chris Brown,?
Little More (Royalty),Chris Brown,?
7 Years,Lukas Graham,2016
Trap Queen,Fetty Wap,2014
We Are,Justin Bieber Featuring Nas,?
Exchange,Bryson Tiller,2016
White Iverson,Post Malone,2015
Zero,Chris Brown,?
Best Friend,Young Thug,?
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,?
Trust,Justin Bieber,?
Make Me Like You,Gwen Stefani,2016
Hold Up,Beyonce,?
Pop Style,Drake Featuring The Throne,2016
Levels,Nick Jonas,?
Hit The Quan,iHeartMemphis,?
Faithful,Drake Featuring Pimp C & dvsn,?
About You,Trey Songz,?
Try Everything,Shakira,2016
Bet You Can't Do It Like Me,DLOW,?
Saved,Ty Dolla $ign Featuring E-40,?
John Cougar, John Deere, John 3:16,Keith Urban,2015
Mr. Misunderstood,Eric Church,2015
Might Be,Luke Nasty,?
Love Yourself,Justin Bieber,?
No Pressure,Justin Bieber Featuring Big Sean,?
Rockin' Around The Christmas Tree,Brenda Lee,1973
Love Drought,Beyonce,?
Daddy,PSY Featuring CL,?
Too Good,Drake Featuring Rihanna,?
Fast Car,Jonas Blue Featuring Dakota,2015
Snapback,Old Dominion,?
I'm Sorry,Adam Wakefield,?
Strip It Down,Luke Bryan,?
New Romantics,Taylor Swift,?
Emperor's New Clothes,Panic! At The Disco,?
Jam,Kevin Gates Featuring Trey Songz, Ty Dolla $ign &  Jamie Foxx,?
The Sound Of Silence,Disturbed,2016
Somewhere On A Beach,Dierks Bentley,?
30 For 30 Freestyle,Drake,?
I Hate U I Love U,gnash Featuring Olivia O'Brien,2016
Youth,Troye Sivan,2015
Hotline Bling,Drake,2015
Ride,twenty one pilots,?
Lean & Dabb,iLoveMemphis,?
Middle,DJ Snake Featuring Bipolar Sunshine,2015
Pray You Catch Me,Beyonce,?
Locked Away,R. City Featuring Adam Levine,?
A.M.,One Direction,2015
Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,2015
Pillowtalk,Zayn,2016
History,One Direction,?
Again,Fetty Wap,?
Used To Love You,Gwen Stefani,2015
All I Ask,Adele,?
Rich $ex,Future,?
Head Over Boots,Jon Pardi,?
Little Red Corvette,Prince,1983
Down In The DM,Yo Gotti,2016
You Should Be Here,Cole Swindell,2016
Great Is Thy Faithfulness,Jordan Smith,?
FML,Kanye West,?
Break On Me.,Keith Urban,2015
THat Part,ScHoolboy Q Featuring Kanye West,?
Girls Just Want To Have Fun,Madi Davis,?
Ophelia,The Lumineers,2016
Gonna Know We Were Here,Jason Aldean,?
Space Oddity,David Bowie,1969
Cut It,O.T. Genasis Featuring Young Dolph,?
Fire & Desire,Drake,?
Into You,Ariana Grande,?
Water Under The Bridge,Adele,2016
Climb Every Mountain,Jordan Smith,?
Walking On A Dream,Empire Of The Sun,2009
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,2015
Sugar,Maroon 5,2015
With You,Drake Featuring PARTYNEXTDOOR,?
Grammys,Drake Featuring Future,?
Good To Be Alive (Hallelujah),Andy Grammer,?
Humble And Kind,Tim McGraw,?
The Fix,Nelly Featuring Jeremih,2015
Where Are U Now,Skrillex & Diplo With Justin Bieber,?
Confession,Florida Georgia Line,?
R.I.C.O.,Meek Mill Featuring Drake,?
Runnin' (Lose It All),Naughty Boy Featuring Beyonce & Arrow Benjamin,2015
When We Were Young,Adele,2016
Say It,Tory Lanez,2015
Sandcastles,Beyonce,?
Hands To Myself,Selena Gomez,2016
Moolah,Young Greatness,?
Hello Friday,Flo Rida Featuring Jason Derulo,2016
Cheap Thrills,Sia Featuring Sean Paul,2016
I'd Just Love To Lay You Down,Barrett Baber,?
I Would Die 4 U,Prince And The Revolution,1985
Used To Love You Sober,Kane Brown,?
Gold,Kiiara,2015
I Love This Life,LoCash,?
Promise,Kid Ink Featuring Fetty Wap,?
All Night,Beyonce,?
Infinity,One Direction,2015
Ain't Your Mama,Jennifer Lopez,2016
Came Here To Forget,Blake Shelton,2016
Let's Go Crazy,Prince And The Revolution,1984
Untitled 07 l 2014 - 2016,Kendrick Lamar,?
30 for 30 Freestyle,Drake,?
Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,?
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,?
Kiss It Better,Rihanna,?
No,Meghan Trainor,2016
Stressed Out,twenty one pilots,2016
Purpose,Justin Bieber,2015
Lose My Mind,Brett Eldredge,?
Worth It,Fifth Harmony Featuring Kid Ink,2015
Tennessee Whiskey,Chris Stapleton,?
Something In The Way You Move,Ellie Goulding,2015
Wherever I Go,OneRepublic,2016
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,?
God Only Knows,Jordan Smith & Adam Levine,?
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,?
Redemption,Drake,?
Hasta El Amanecer,Nicky Jam,?
I'm Comin' Over,Chris Young,2015
Firestone,Kygo Featuring Conrad,2015
Children,Justin Bieber,?
Feel No Ways,Drake,?
Honey, I'm Good.,Andy Grammer,2015
Stay A Little Longer,Brothers Osborne,?
Classic Man,Jidenna Featuring Roman GianArthur,2015
Formation,Beyonce,?
Get Ugly,Jason Derulo,2016
Keep The Family Close,Drake,?
Death Of A Bachelor,Panic! At The Disco,?
Huntin', Fishin' & Lovin' Every Day,Luke Bryan,?
Close,Nick Jonas Featuring Tove Lo,?
Law,Yo Gotti Featuring E-40,?
If I Could Fly,One Direction,?
Roses,The Chainsmokers Featuring ROZES,2016
Drag Me Down,One Direction,2015
Buy Me A Boat,Chris Janson,2015
Something New,Zendaya Featuring Chris Brown,2016
Jimmy Choo,Fetty Wap,?
Don't Mind,Kent Jones,?
Break Up With Him,Old Dominion,?
Fly S**t Only,Future,?
Waves,Kanye West,?
Sorry,Justin Bieber,2015
How Deep Is Your Love,Calvin Harris & Disciples,2015
Love On The Brain,Rihanna,?
Writing's On The Wall,Sam Smith,2015
Untitled 02 l 06.23.2014.,Kendrick Lamar,?
RGF Island,Fetty Wap,?
Hide Away,Daya,?
One Call Away,Charlie Puth,2016
Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,?
Home,One Direction,2012
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,2015
Stand By You,Rachel Platten,?
Live From The Gutter,Drake & Future,?
Famous,Kanye West,?
No Role Modelz,J. Cole,?
Burning House,Cam,2015
Lights Come On,Jason Aldean,?
1999,Prince,1984
Out Of The Woods,Taylor Swift,2014
Sorry,Beyonce,?
On My Mind,Ellie Goulding,2015
Shut Up And Dance,WALK THE MOON,2014
Til It Happens To You,Lady Gaga,2015
Cheerleader,OMI,2015
Never Enough,One Direction,?
Back To Back,Drake,2015
Summer Sixteen,Drake,2016
Purple Rain,Prince And The Revolution,?
Watch Out,2 Chainz,?
2 Phones,Kevin Gates,2016
Little Bit Of You,Chase Bryant,?
With Them,Young Thug,?
Daddy Lessons,Beyonce,?
Love Me,The 1975,2015
Liquor,Chris Brown,2015
Thriller,Michael Jackson,1982
Real Friends,Kanye West,?
All I Want For Christmas Is You,Mariah Carey,1994
Record Year,Eric Church,?
Dessert,Dawin,2015
Break Up In A Small Town,Sam Hunt,?
Down That Road,Alisan Porter,?
Dangerous Woman,Ariana Grande,2016
Ghost Town,Adam Lambert,2015
Gonna,Blake Shelton,?
Watch Me,Silento,?
Been You,Justin Bieber,?
Wasted Time,Keith Urban,?
Crash And Burn,Thomas Rhett,?
Renegades,X Ambassadors,2015
Same Old Love,Selena Gomez,2015
Look At My Dab,Migos,?
In The Night,The Weeknd,?
Hype,Drake,1995
Nobody To Blame,Chris Stapleton,?
Wild Things,Alessia Cara,2016
Loving You Easy,Zac Brown Band,?
Black Magic,Little Mix,2015
That Don't Sound Like You,Lee Brice,?
Irresistible,Fall Out Boy,2015
Might Be,DJ Luke Nasty,?
Sorry,Rick Ross Featuring Chris Brown,2015
Freedom,Beyonce Featuring Kendrick Lamar,?
Let It Go,James Bay,2015
What Do You Mean?,Justin Bieber,2015
Really Really,Kevin Gates,?
Digits,Young Thug,?
When Doves Cry,Prince,?
Plastic Bag,Drake & Future,?
We Went,Randy Houser,?
Prisoner,The Weeknd Featuring Lana Del Rey,?
Like I Would,Zayn,2016
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,?
Earned It (Fifty Shades Of Grey),The Weeknd,2015
Light It Up,Major Lazer Featuring Nyla,2015
Controlla,Drake,?
Go Flex,Post Malone,?
Church Bells,Carrie Underwood,?
Uber Everywhere,MadeinTYO,2016
Change Locations,Drake & Future,?
100,The Game Featuring Drake,2015
My Boo,Ghost Town DJ's,?
Jingle Bell Rock,Bobby Helms,?
Body,Dreezy Featuring Jeremih,?
Bang My Head,David Guetta Featuring Sia & Fetty Wap,2015
Gotta Lotta,2 Chainz Featuring Lil Wayne,?
Weston Road Flows,Drake,?
Ginza,J Balvin,?
Childs Play,Drake,?
Don't,Bryson Tiller,2015
Blackstar,David Bowie,2016
My Church,Maren Morris,2015
She's Kinda Hot,5 Seconds Of Summer,2015
Be Alright,Ariana Grande,2016
Still Here,Drake,?
From The Ground Up,Dan + Shay,?
Backroad Song,Granger Smith,?
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,?
Pt. 2,Kanye West,?
Downtown,Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz,2015
Lean On,Major Lazer & DJ Snake Featuring M0,2015
Somebody To Love,Jordan Smith,?
Right Hand,Drake,?
Hold Each Other,A Great Big World Featuring FUTURISTIC,2015
Whisper,Chase Rice,?
Wicked,Future,?
Cool For The Summer,Demi Lovato,2015
Blessings,Chance The Rapper,?
The Feeling,Justin Bieber Featuring Halsey,?
Hallelujah,Jordan Smith,?
I Took A Pill In Ibiza,Mike Posner,2016
Alive,Sia,2015
Already Callin' You Mine,Parmalee,?
Messin' Around,Pitbull Featuring Enrique Iglesias,2016
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,?
Random,G-Eazy,?
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,2016
Temporary Fix,One Direction,?
Halo,Jordan Smith,?
Let Me See Ya Girl,Cole Swindell,?
Panda,Desiigner,2016
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015
Smoke Break,Carrie Underwood,2015
See You Again,Wiz Khalifa Featuring Charlie Puth,?
Come Get Her,Rae Sremmurd,?
Save It For A Rainy Day,Kenny Chesney,?
Beautiful Drug,Zac Brown Band,?
Jersey,Future,?
Antidote,Travi$ Scott,?
Remedy,Adele,?
Wake Up,Fetty Wap,?
Burning House,Emily Ann Roberts,?
Jumpman,Drake & Future,?
American Country Love Song,Jake Owen,?
Come And See Me,PARTYNEXTDOOR Featuring Drake,?
Under Pressure,Queen & David Bowie,1986
The Fighter,Keith Urban Featuring Carrie Underwood,?
Hell Of A Night,Dustin Lynch,?
Forward,Beyonce Featuring James Blake,?
House Party,Sam Hunt,?
You Don't Own Me,Grace Featuring G-Eazy,2016
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,?
My Way,Fetty Wap Featuring Monty,?
U With Me?,Drake,?
Photograph,Ed Sheeran,2015
Want To Want Me,Jason Derulo,2015
I'm The Plug,Drake & Future,?
Hold My Hand,Jess Glynne,2015
Kick The Dust Up,Luke Bryan,?
Feedback,Kanye West,?
H.O.L.Y.,Florida Georgia Line,?
The Hills,The Weeknd,2015
Wildest Dreams,Taylor Swift,2015
Good For You,Selena Gomez Featuring A$AP Rocky,2015
Raspberry Beret,Prince And The Revolution,1985
This Could Be Us,Rae Sremmurd,?
Can't Feel My Face,The Weeknd,2015
Ultralight Beam,Kanye West,?
Mary Did You Know,Jordan Smith,?
Team,Iggy Azalea,2016
Sorry Not Sorry,Bryson Tiller,?
Kiss,Prince And The Revolution,1986
It's You,Zayn,2016
True Colors,Zedd & Kesha,2015
Me Too,Meghan Trainor,2016
Gonna Wanna Tonight,Chase Rice,?
Scholarships,Drake & Future,?
Thinking Out Loud,Ed Sheeran,2014
New Level,A$AP Ferg Featuring Future,?
Digital Dash,Drake & Future,?
Comfortable,K Camp,?
Lay It All On Me,Rudimental Featuring Ed Sheeran,2015
Faded,Alan Walker,2015
If It Ain't Love,Jason Derulo,2016
All The Way Up,Fat Joe & Remy Ma Featuring French Montana & Infared,?
Dark Times,The Weeknd Featuring Ed Sheeran,?
Top Of The World,Tim McGraw,?
Piece By Piece,Kelly Clarkson,2015
Real Life,Jake Owen,?
Anything Goes,Florida Georgia Line,2014
Just Like Fire,P!nk,?
My House,Flo Rida,2015
Send My Love (To Your New Lover),Adele,2016
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,2015
I Like The Sound Of That,Rascal Flatts,?
I Don't Like It, I Love It,Flo Rida Featuring Robin Thicke & Verdine White,2015
Cake By The Ocean,DNCE,2016
Get Used To Me,Justin Bieber,?
Might Not,Belly Featuring The Weeknd,?
One Dance,Drake Featuring WizKid & Kyla,2016
Diamonds Dancing,Drake & Future,?
Never Be Like You,Flume Featuring Kai,2016
Drunk On Your Love,Brett Eldredge,?
9,Drake,2009
Lazarus,David Bowie,2015
Cecilia And The Satellite,Andrew McMahon In The Wilderness,2014
Sugar,Robin Schulz Featuring Francesco Yates,2015
Focus,Ariana Grande,2015
Fly,Maddie & Tae,?
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015
Heartbeat,Carrie Underwood,?
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,?
Alright,Kendrick Lamar,?
Can't Sleep Love,Pentatonix,?
6 Inch,Beyonce Featuring The Weeknd,?
Unsteady,X Ambassadors,?
Adventure Of A Lifetime,Coldplay,2015
Can't Stop The Feeling!,Justin Timberlake,2016
Hello,Adele,2015
Stitches,Shawn Mendes,2015
Mind Reader,Dustin Lynch,?
Fight Song,Rachel Platten,2015
Confident,Demi Lovato,2015
Dibs,Kelsea Ballerini,?
Roses,The Chainsmokers Featuring Rozes,2016
Olivia,One Direction,?
Country Nation,Brad Paisley,?
Don't Hurt Yourself,Beyonce Featuring Jack White,?
Back Up,DeJ Loaf Featuring Big Sean,?
Oui,Jeremih,2015
Should've Been Us,Tori Kelly,?
Traveller,Chris Stapleton,2016
Views,Drake,2016
Needed Me,Rihanna,?
Think Of You,Chris Young Duet With Cassadee Pope,?
Life Is Worth Living,Justin Bieber,?
oui,Jeremih,2015
Nothin' Like You,Dan + Shay,?
Let Me Love You,Ariana Grande Featuring Lil Wayne,?
Low Life,Future Featuring The Weeknd,?
Here,Alessia Cara,2015
This Is What You Came For,Calvin Harris Featuring Rihanna,2016
All The Way Up,Fat Joe & Remy Ma Featuring French Montana,?
Where Ya At,Future Featuring Drake,?
Mark My Words,Justin Bieber,?
Die A Happy Man,Thomas Rhett,?
Perfect,One Direction,2015
Die A Happy Man,Nelly,2015
Victorious,Panic! At The Disco,?
Hollow,Tori Kelly,2015
Acquainted,The Weeknd,?
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015
Lonesome Broken And Blue,Adam Wakefield,?
The Christmas Song (Merry Christmas To You),Nat King Cole,1991
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016
Lost Boy,Ruth B,?
Hymn For The Weekend,Coldplay,2016
Tell Your Friends,The Weeknd,?
Work,Rihanna Featuring Drake,2016
Planes,Jeremih Featuring J. Cole,2014
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,?
Uma Thurman,Fall Out Boy,?
Ex's & Oh's,Elle King,2015
New Americana,Halsey,?
Flex (Ooh Ooh Ooh),Rich Homie Quan,?
Big Rings,Drake & Future,?
Stick Talk,Future,?
679,Fetty Wap Featuring Remy Boyz,2015
Company,Justin Bieber,?
Father Stretch My Hands Pt. 1,Kanye West,?
Hallelujah,Lindsey Stirling,?
